cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,max_abs_effect_per_1pp
22,s2_r1_t2,2,1,2,0.00032487385144069024,-0.00023220495323074666,0.0011552724715238039,0.8,0.8,98893,173,0.001862847576849166,-0.0006502132088767985,-0.0018085439504544009,0.0007344499531280673,0.8,0.8,98893,173,0.001862847576849166,uncertain,0.0006502132088767985
29,s2_r2_t4,2,2,4,-0.0005712860169186813,-0.0009315905940574891,-0.0003585185607858755,0.0,0.0,98893,173,0.14604689180850983,-0.000149160710336729,-0.0004815830711143195,0.00021279387794263598,0.8,0.8,98893,173,0.14604689180850983,uncertain,0.0005712860169186813
33,s2_r3_t3,2,3,3,-0.0005410037916625774,-0.0007925643593247332,-0.0004941479918798677,0.0,0.0,98893,173,0.3225134313106537,-0.00032373140139282773,-0.0006764093355671057,-0.00033961997396621485,0.0,0.0,98893,173,0.3225134313106537,uncertain,0.0005410037916625774
31,s2_r3_t1,2,3,1,-0.00019328406378263177,-0.000564132270198937,-1.2148537170527956e-05,0.0,0.0,98893,173,0.2570273375511206,-0.0005241157462853516,-0.0009366908618969627,-0.00019715644927697563,0.0,0.0,98893,173,0.2570273375511206,uncertain,0.0005241157462853516
34,s2_r3_t4,2,3,4,-0.00047166139817214744,-0.000643639734971229,-0.0002956233261995363,0.0,0.0,98893,173,0.43405792355537415,-0.0004094194830149389,-0.0006881708153485305,-0.00023342186996302687,0.0,0.0,98893,173,0.43405792355537415,uncertain,0.00047166139817214744
49,s3_r2_t4,3,2,4,-0.0003324615615350418,-0.0007402395077492005,-0.00025538428496369375,0.0,0.0,98893,173,0.2228715866804123,-0.0003810766318161532,-0.0007883862459129486,-0.0003853209889649361,0.0,0.0,98893,173,0.2228715866804123,uncertain,0.0003810766318161532
50,s3_r2_t5,3,2,5,-9.936079387509915e-06,-0.00033406184051423707,0.0005900624522201614,0.8,0.8,98893,173,0.24070342004299175,-0.00034750042443432286,-0.0004521030879517477,0.0002857024197436256,0.8,0.8,98893,173,0.24070342004299175,uncertain,0.00034750042443432286
46,s3_r2_t1,3,2,1,-5.227549769184476e-05,-0.000509167549888809,0.0003493943166160158,0.8,0.8,98893,173,0.16256453692913062,-0.0003139454524496073,-0.0008934867849025066,2.7248571265652422e-05,0.4,0.5,98893,173,0.16256453692913062,uncertain,0.0003139454524496073
48,s3_r2_t3,3,2,3,-0.00024451106869581763,-0.0004403988539493099,-0.00014922645283879367,0.0,0.0,98893,173,0.24283632636070251,-0.0002250319935839348,-0.0003649153958872357,-0.0001249732938678802,0.0,0.0,98893,173,0.24283632636070251,uncertain,0.00024451106869581763
27,s2_r2_t2,2,2,2,0.00022475646492465173,-0.00016928321437621478,0.0007868379306729948,0.8,0.8,98893,173,0.15955031096935274,-0.00016625823344528228,-0.0006336364689500914,0.0004738395655070811,0.4,0.5,98893,173,0.15955031096935274,uncertain,0.00022475646492465173
35,s2_r3_t5,2,3,5,-0.00019219332648354144,-0.00026847477658323586,0.00011358193570772058,0.8,0.8,98893,173,0.48689520359039307,-1.9473405252506457e-05,-6.139248106395963e-05,0.0002987236475659603,0.8,0.8,98893,173,0.48689520359039307,uncertain,0.00019219332648354144
44,s3_r1_t4,3,1,4,-0.00014422901598382635,-0.0006282943727472792,4.8611091249056975e-05,0.8,0.8,98893,173,0.22610366344451904,-0.00010034594618632503,-0.0005190773504295561,0.00019571454686153548,0.8,0.8,98893,173,0.22610366344451904,uncertain,0.00014422901598382635
40,s2_r4_t5,2,4,5,5.758004784551242e-05,-0.0001138142414619893,0.00022107447226603097,0.8,0.8,98893,173,0.3050462019443512,-0.0001367630751470836,-0.00026962539531091037,0.00011835721546843168,0.4,0.5,98893,173,0.3050462019443512,uncertain,0.0001367630751470836
28,s2_r2_t3,2,2,3,-6.909629852804289e-05,-0.0005715664711651717,5.5816413546290076e-05,0.4,0.5116279069767442,98893,173,0.16437329888343813,2.2592237682970365e-05,-0.00042298276581547546,9.589748161295216e-05,0.4,0.5,98893,173,0.16437329888343813,uncertain,6.909629852804289e-05
56,s3_r4_t1,3,4,1,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,
57,s3_r4_t2,3,4,2,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,
58,s3_r4_t3,3,4,3,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,
59,s3_r4_t4,3,4,4,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,
60,s3_r4_t5,3,4,5,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,
