monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
20,0.40816326530612246,0.0028423666954040527,0.001012372970581038,0.02024745941162076,1,direct_retention,direct_retention,733,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,301,400
24,0.4897959183673469,0.0036243796348571777,0.0010647922754287674,0.025555014610290416,1,direct_retention,direct_retention,734,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,451,550
22,0.4489795918367347,0.0028547048568727806,0.0010393072258342397,0.02286475896835327,1,direct_retention,direct_retention,735,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,601,700
20,0.40816326530612246,0.0037944912910460316,0.0014169156551361195,0.02833831310272239,1,direct_retention,direct_retention,736,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,751,850
22,0.4489795918367347,0.0032500624656678356,0.0013962035829370824,0.03071647882461581,1,direct_retention,direct_retention,737,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,901,1000
26,0.5306122448979592,0.0018041133880614124,0.0006098197056697179,0.015855312347412664,1,direct_retention,direct_retention,738,5_6C_36PER_4_3C_NEWSTRUCTURE,739495,1,100
24,0.4897959183673469,0.0021833181381224476,0.0006804068883259721,0.01632976531982333,1,direct_retention,direct_retention,739,5_6C_36PER_4_3C_NEWSTRUCTURE,739495,151,250
18,0.3673469387755102,0.0039713382720947266,0.0017061001724666958,0.030709803104400524,1,direct_retention,direct_retention,740,5_6C_36PER_4_3C_NEWSTRUCTURE,739495,301,400
24,0.4897959183673469,0.005550682544708363,0.0018987258275349934,0.045569419860839844,1,direct_retention,direct_retention,741,5_6C_36PER_4_3C_NEWSTRUCTURE,739495,451,550
20,0.40816326530612246,0.015983402729034535,0.004308927059173589,0.08617854118347179,1,direct_retention,direct_retention,742,5_6C_36PER_4_3C_NEWSTRUCTURE,739495,601,700
20,0.40816326530612246,0.002253711223602295,0.0007939636707305908,0.015879273414611816,1,direct_retention,direct_retention,743,5_9C_15PER_4_6C_NEWSTRUCTURE,737386,1,100
23,0.46938775510204084,0.001770317554473877,0.0007078025652015125,0.016279458999634788,1,direct_retention,direct_retention,744,5_9C_15PER_4_6C_NEWSTRUCTURE,737386,151,250
23,0.46938775510204084,0.003393828868865967,0.0013220258381055603,0.03040659427642789,1,direct_retention,direct_retention,745,5_9C_15PER_4_6C_NEWSTRUCTURE,737386,301,400
20,0.40816326530612246,0.003272891044616588,0.0013991147279739046,0.027982294559478094,1,direct_retention,direct_retention,746,5_9C_15PER_4_6C_NEWSTRUCTURE,737386,451,550
24,0.4897959183673469,0.009012877941131592,0.002893475194772066,0.06944340467452959,1,direct_retention,direct_retention,747,5_9C_15PER_4_6C_NEWSTRUCTURE,737386,601,700
23,0.46938775510204084,0.0008339285850523792,0.0003649229588716023,0.008393228054046853,1,direct_retention,direct_retention,748,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,1,100
23,0.46938775510204084,0.0018935799598691627,0.0007856229077214636,0.01806932687759366,1,direct_retention,direct_retention,749,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,151,250
25,0.5102040816326531,0.0025397539138791725,0.0010979509353637874,0.027448773384094682,1,direct_retention,direct_retention,750,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,301,400
