model_name,n_estimators,train_mse,valid_mse
F2_F1_plus_60inc_plus_stats,62,1.6593637595524455e-05,0.0004993746005904212
F2_F1_plus_60inc_plus_stats,63,1.663827304887153e-05,0.0005005676834173435
F2_F1_plus_60inc_plus_stats,64,1.6564358818097575e-05,0.0004967621781558449
F2_F1_plus_60inc_plus_stats,65,1.6399288280389963e-05,0.0005004192038394585
F2_F1_plus_60inc_plus_stats,66,1.6465465273226392e-05,0.0004984188315300318
F2_F1_plus_60inc_plus_stats,67,1.653518572721299e-05,0.0004986143546707909
F2_F1_plus_60inc_plus_stats,68,1.6451966329784463e-05,0.0004967028516814527
F2_F1_plus_60inc_plus_stats,69,1.6400226892313554e-05,0.0004951605113167963
F2_F1_plus_60inc_plus_stats,70,1.6387463550214948e-05,0.0004961216487915911
F2_F1_plus_60inc_plus_stats,71,1.6421275886529046e-05,0.0004961303731995515
F2_F1_plus_60inc_plus_stats,72,1.631612937510827e-05,0.0004978854927230139
F2_F1_plus_60inc_plus_stats,73,1.612597319973287e-05,0.0005007501058214425
F2_F1_plus_60inc_plus_stats,74,1.6042230613306e-05,0.0005033473420500785
F2_F1_plus_60inc_plus_stats,75,1.611635605690563e-05,0.0005029087730372616
F2_F1_plus_60inc_plus_stats,76,1.6043061633080284e-05,0.0005035237779281807
F2_F1_plus_60inc_plus_stats,77,1.5973900629959487e-05,0.000504996217599895
F2_F1_plus_60inc_plus_stats,78,1.602697598760139e-05,0.0005030703450756137
F2_F1_plus_60inc_plus_stats,79,1.5853884130469695e-05,0.0005030325321818623
F2_F1_plus_60inc_plus_stats,80,1.589499124504115e-05,0.0005019291798446375
F2_F1_plus_60inc_plus_stats,81,1.592260119364325e-05,0.0005043401975477688
F2_F1_plus_60inc_plus_stats,82,1.590626464034284e-05,0.0005081644219862593
F2_F1_plus_60inc_plus_stats,83,1.590285996650462e-05,0.0005079141654083076
F2_F1_plus_60inc_plus_stats,84,1.5787318982145195e-05,0.0005072775137188703
F2_F1_plus_60inc_plus_stats,85,1.5849690322731043e-05,0.0005076630659756183
F2_F1_plus_60inc_plus_stats,86,1.5803742592597705e-05,0.0005080286829609043
F2_F1_plus_60inc_plus_stats,87,1.5698028525359352e-05,0.0005102278790992866
F2_F1_plus_60inc_plus_stats,88,1.5674121905663182e-05,0.0005123223397963431
F2_F1_plus_60inc_plus_stats,89,1.573473811821324e-05,0.0005105087545910514
F2_F1_plus_60inc_plus_stats,90,1.576072907398429e-05,0.0005140013156765554
F2_F1_plus_60inc_plus_stats,91,1.5697691694763036e-05,0.0005122603774851011
F2_F1_plus_60inc_plus_stats,92,1.557026121006482e-05,0.0005101039432898355
F2_F1_plus_60inc_plus_stats,93,1.5598169015185757e-05,0.0005123813748859374
F2_F1_plus_60inc_plus_stats,94,1.5617368460313695e-05,0.0005137136208149026
F2_F1_plus_60inc_plus_stats,95,1.5584464224523296e-05,0.0005113646613359309
F2_F1_plus_60inc_plus_stats,96,1.5564583698519252e-05,0.0005086903431118493
F2_F1_plus_60inc_plus_stats,97,1.5511711887366304e-05,0.0005088488357932326
F2_F1_plus_60inc_plus_stats,98,1.5506005952695544e-05,0.0005078651198578028
F2_F1_plus_60inc_plus_stats,99,1.5440691394460992e-05,0.0005063699566160746
F2_F1_plus_60inc_plus_stats,100,1.5448019262085828e-05,0.0005049743507897562
F2_F1_plus_60inc_plus_stats,101,1.546361116475359e-05,0.0005047338007599063
F2_F1_plus_60inc_plus_stats,102,1.5466722681907092e-05,0.0005066740660322426
F2_F1_plus_60inc_plus_stats,103,1.5580134058794586e-05,0.0005062295966865136
F2_F1_plus_60inc_plus_stats,104,1.5564769953949755e-05,0.0005055021464305991
F2_F1_plus_60inc_plus_stats,105,1.5599158583560733e-05,0.0005051183914807091
F2_F1_plus_60inc_plus_stats,106,1.5585963417698443e-05,0.000505776427483046
F2_F1_plus_60inc_plus_stats,107,1.553959759703222e-05,0.0005046431590331621
F2_F1_plus_60inc_plus_stats,108,1.5538633398178666e-05,0.0005050000783432885
