feature_pack,stage,trial_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,tune_train_r2,tune_valid_r2,tune_valid_mse,tune_train_rows,tune_valid_rows,trial_error
F1_F0_plus_cycles,B_refine,56,100,26,5,12,0.35,True,0.99,squared_error,0.9981145072404988,0.6191214963304987,0.0011106569441715604,17366.0,3361.0,
F1_F0_plus_cycles,A_coarse,7,240,26,4,8,0.35,False,,squared_error,0.9988687596506155,0.616320169122255,0.0013258726348156957,17037.0,3690.0,
F1_F0_plus_cycles,B_refine,52,100,18,5,16,0.35,False,,squared_error,0.9984001738888847,0.581975950717111,0.0009963106043689566,16513.0,4214.0,
F1_F0_plus_cycles,A_coarse,37,240,18,6,12,log2,False,,friedman_mse,0.9978797516494224,0.5727826930823635,0.001131823249088177,15184.0,5543.0,
F1_F0_plus_cycles,A_coarse,34,200,18,4,8,0.45,False,,squared_error,0.9989109396366074,0.5678847938890326,0.0013510277116970952,16711.0,4016.0,
F1_F0_plus_cycles,A_coarse,16,240,22,2,6,0.45,True,0.75,friedman_mse,0.998700371026096,0.5445659203819464,0.0011808755263404266,16392.0,4335.0,
F1_F0_plus_cycles,A_coarse,6,120,14,3,4,0.35,False,,squared_error,0.9987263646470766,0.4376506312350874,0.001376315199137666,16446.0,4281.0,
F1_F0_plus_cycles,A_coarse,2,120,18,2,12,0.45,True,0.75,squared_error,0.9985776515948425,0.4043677760456368,0.0011609107903692319,14532.0,6195.0,
F1_F0_plus_cycles,B_refine,53,100,26,2,12,sqrt,False,,squared_error,0.9986588143956295,0.2786614559587274,0.0017165417295336952,16470.0,4257.0,
F1_F0_plus_cycles,A_coarse,24,160,26,6,8,0.45,True,0.75,squared_error,0.9984826518119975,0.24146901440569446,0.0020546298446673474,16561.0,4166.0,
F2_F1_plus_60inc_plus_stats,A_coarse,18,200,14,4,4,0.45,True,0.65,friedman_mse,0.9984287799013802,0.9581923888915347,0.00011212216033775275,16081.0,4103.0,
F2_F1_plus_60inc_plus_stats,A_coarse,35,120,26,6,6,0.35,False,,squared_error,0.9989030146047966,0.9181482353797904,0.00022296878547048624,15122.0,5062.0,
F2_F1_plus_60inc_plus_stats,B_refine,46,240,16,5,8,0.35,False,,squared_error,0.9993419362771279,0.9042133990901954,0.0002628509505257711,16155.0,4029.0,
F2_F1_plus_60inc_plus_stats,A_coarse,20,200,18,6,6,0.35,True,0.65,squared_error,0.9978296350476458,0.9034597803779923,0.0003064741943252686,16549.0,3635.0,
F2_F1_plus_60inc_plus_stats,B_refine,58,260,14,6,4,0.45,True,0.55,friedman_mse,0.9975738238012606,0.8879302911270305,0.0003061128322921629,15560.0,4624.0,
F2_F1_plus_60inc_plus_stats,A_coarse,28,200,26,6,12,log2,False,,squared_error,0.9974645221725142,0.8864848462433194,0.000331654816316816,15644.0,4540.0,
F2_F1_plus_60inc_plus_stats,A_coarse,27,120,26,2,6,0.45,True,0.65,squared_error,0.9987571396871306,0.8844341173632942,0.0002853337072165353,14307.0,5877.0,
F2_F1_plus_60inc_plus_stats,A_coarse,40,200,26,6,6,0.35,True,0.75,squared_error,0.9983533673528397,0.8807301785029146,0.00040787540623000784,16592.0,3592.0,
F2_F1_plus_60inc_plus_stats,A_coarse,38,160,26,3,6,0.45,True,0.95,squared_error,0.9992425980283635,0.8776517557451619,0.0003729225724038854,16832.0,3352.0,
F2_F1_plus_60inc_plus_stats,A_coarse,4,160,14,2,6,sqrt,True,0.75,squared_error,0.9986328248536995,0.8702111227720528,0.0004175773592865072,16042.0,4142.0,
F2_F1_plus_60inc_plus_stats,A_coarse,31,160,26,3,8,0.25,False,,friedman_mse,0.9992557969541417,0.8683959642212722,0.000461708155662525,16658.0,3526.0,
F2_F1_plus_60inc_plus_stats,B_refine,60,260,18,6,6,0.45,False,,friedman_mse,0.9993488214808505,0.865802032321002,0.0003976865869207654,15217.0,4967.0,
F2_F1_plus_60inc_plus_stats,A_coarse,36,120,18,2,4,log2,False,,friedman_mse,0.9992147883260799,0.8603360186912713,0.0003524176764887483,16456.0,3728.0,
