policy,n_rows,mae,rmse,r2,mape,feature_group
80PER_4C,92,0.05925412897982101,0.07001659973121338,-2.288981547230948,0.06284882766755465,charge_only
8C-15PER_3_6C,182,0.028572808723914354,0.03992074313409641,-0.311769674140395,0.02761775058651688,charge_only
8C-25PER_3_6C,140,0.03160915960193561,0.04234844160550063,-0.1633575098127802,0.030432786003778002,charge_only
8C-35PER_3_6C,91,0.03140040085461047,0.04279557409700892,0.2712153450005488,0.03067056401441568,charge_only
VARCHARGE_2C_100CYCLES,223,0.020974753720796782,0.02350238645213334,-7.5191279788925005,0.020155917852358828,charge_only
VARCHARGE_4C_100CYCLES,31,0.057940480584131336,0.06765725620967109,-6.180662075351459,0.06304667481358067,charge_only
VARCHARGE_6C_100CYCLES,42,0.039263684809076084,0.05546044605119258,0.8881161348150025,0.03828412064854781,charge_only
VARCHARGE_8C_100CYCLES,15,0.04967917151504561,0.09730125267475842,0.854611661434616,0.03816115733220574,charge_only
3_6C-80PER_3_6C,218,0.03443327896030537,0.03674815209955166,-7.19553104767372,0.03223292689926993,policy_only
3_6C_30PER_6C,71,0.03453240244711075,0.04234146434400799,-0.23500095372895324,0.03326881123746142,policy_only
3_6C_9PER_5C,84,0.0329763918215233,0.04091680637574716,-0.15058647628165267,0.03198958108945933,policy_only
3_7C_31PER_5_9C_NEWSTRUCTURE,87,0.03295793607012511,0.043524718157567185,-0.015745277874678942,0.03383079017506166,policy_only
4C-80PER_4C,269,0.02542229925694536,0.028684232564715896,-2.0948801392958556,0.023742879809924674,policy_only
4_65C_44PER_5C,137,0.04712480592058229,0.05920440893883389,-0.06431274157907474,0.04584126375667548,policy_only
4_65C_69PER_6C,126,0.05388572928726026,0.06434107581122427,-0.157635178896117,0.05250151613576035,policy_only
4_8C-80PER_4_8C,158,0.049920391586553696,0.05723266278822007,-0.12601642629171828,0.04825820190071655,policy_only
4_8C_80PER_4_8C,229,0.055695145349417156,0.061789602641413185,-0.48558202643409176,0.052808993231936774,policy_only
4_8C_80PER_4_8C_NEWSTRUCTURE,532,0.027822388835856176,0.036427206211060964,-0.01241718231808564,0.02703852515130654,policy_only
5C_67PER_4C_NEWSTRUCTURE,250,0.029039924698456877,0.03875231085365246,-0.042168102073270486,0.028632147309979917,policy_only
5_2C_50PER_4_25C,120,0.04085941061111494,0.056460003956030846,-0.02624463707706126,0.04003474617835767,policy_only
5_2C_58PER_4C,135,0.0414271974416658,0.04927696007084577,-0.34990827595450247,0.038889575579598205,policy_only
5_2C_58PER_4C_NEWSTRUCTURE,198,0.03921964717916508,0.061172977281306835,-0.013695463162213262,0.03995391499358274,policy_only
5_3C_54PER_4C_NEWSTRUCTURE,323,0.03415436336556465,0.04538014381433497,-0.0022544850400585403,0.034487491216903324,policy_only
5_4C-40PER_3_6C,128,0.03490713960379348,0.05683162609105993,-0.16614257985921377,0.03589162346671824,policy_only
5_4C-50PER_3C,123,0.04919444144346806,0.05575203131134391,-1.457202379908805,0.04640740057304517,policy_only
5_4C-50PER_3_6C,123,0.034477831493363115,0.04560280898771162,-0.06370747461731296,0.03445263142097938,policy_only
5_4C-60PER_3C,165,0.041656652561864134,0.050470189569107725,-0.04560332755772234,0.041160353387090336,policy_only
5_4C-60PER_3_6C,191,0.036222694918505514,0.04541767912101595,-0.028594939638242556,0.03541041432534799,policy_only
5_4C-70PER_3C,169,0.044490526973127595,0.05411873182211918,-0.012273255986910092,0.0439624597481549,policy_only
5_4C-80PER_5_4C,97,0.03861873076603646,0.04521946158177534,-0.2191377258922098,0.03722682432919809,policy_only
5_6C_19PER_4_6C_NEWSTRUCTURE,300,0.030256994179669518,0.04455876421787718,-0.05394970738378646,0.030888096640514603,policy_only
5_6C_26PER_4_5C,61,0.04853078025297764,0.05930474953516323,-0.041229081283363334,0.04713101739367474,policy_only
5_6C_26PER_4_5C_NEWSTRUCTURE,159,0.05809885935695886,0.0700159314953909,-0.02096282874999522,0.05742330583503582,policy_only
5_6C_36PER_4_3C_NEWSTRUCTURE,325,0.03543936291609892,0.04673486330261607,-0.0016050513425669433,0.03582139405335936,policy_only
5_9C_15PER_4_6C_NEWSTRUCTURE,138,0.034964204455691504,0.04589331098927081,-0.0012594834814456668,0.0350670259278466,policy_only
5_9C_60PER_3_1C_NEWSTRUCTURE,167,0.024084657347860704,0.03716983935827131,-0.17319374845445412,0.024439501207908457,policy_only
6C-30PER_3_6C,182,0.0314370893771653,0.04937638389223668,-0.06725812669500097,0.03186697948440849,policy_only
6C-40PER_3C,172,0.03422447812636362,0.042429565123063284,-0.0019971582509266117,0.03369618247945277,policy_only
6C-40PER_3_6C,132,0.04365719138083513,0.055394998582195536,-0.0008264813695317841,0.043665181389069184,policy_only
6C-50PER_3C,176,0.032035671696137684,0.04584596495269128,-0.026989525571085027,0.032048690512952886,policy_only
6C-50PER_3_6C,156,0.03966102641207971,0.04902486268241325,-0.06530663549390092,0.03847946163624011,policy_only
6C-60PER_3C,135,0.05633686310789012,0.06064891975561967,-0.5589124738220641,0.05341783242656093,policy_only
6C_60PER_3C,87,0.07223713605138558,0.07783589259032656,-0.7725942416778986,0.06824948116180435,policy_only
7C-30PER_3_6C,164,0.022473461465900728,0.03002271665124411,-0.05915130410928593,0.02165116477273726,policy_only
7C-40PER_3C,153,0.029782220211142175,0.042985367087770926,-2.821012073406237e-05,0.02956692683779117,policy_only
7C-40PER_3_6C,123,0.024982585487719235,0.03455396701668427,-0.02438296488394398,0.024208587383423928,policy_only
80PER_3_6C,185,0.04113509290746871,0.05874293151098667,-0.9199146856236209,0.04358086164516313,policy_only
80PER_4C,92,0.08395549456418087,0.09240700532664507,-4.728873031883981,0.08966554224654699,policy_only
8C-15PER_3_6C,182,0.026066844803055718,0.03507578952364393,-0.01268706530932251,0.025403120844573857,policy_only
8C-25PER_3_6C,140,0.03389104755939491,0.04120553199331892,-0.10141093114849031,0.03274812083049757,policy_only
8C-35PER_3_6C,91,0.03802434479239417,0.050211425657640606,-0.003244092797592968,0.03774082190436819,policy_only
VARCHARGE_2C_100CYCLES,223,0.009321741658434596,0.010966507351949803,-0.8548461137111107,0.008917403987909016,policy_only
VARCHARGE_4C_100CYCLES,31,0.10914286702271334,0.11202518493560183,-18.68643447207872,0.1187272757403573,policy_only
VARCHARGE_6C_100CYCLES,42,0.05938282360787802,0.16584441080139922,-0.0004662081751698466,0.047614469262643566,policy_only
VARCHARGE_8C_100CYCLES,15,0.1010075366044986,0.25888573673136156,-0.02922175646331926,0.06910068794504079,policy_only
3_6C-80PER_3_6C,218,0.02377115430661683,0.0348831630279758,-6.384784131486191,0.022360864495041564,combined_charge_plus_policy
3_6C_30PER_6C,71,0.027749576329416933,0.03713687909151721,0.04995023890541184,0.02692285518779073,combined_charge_plus_policy
3_6C_9PER_5C,84,0.024648705787325614,0.0406864816612892,-0.13766940647107817,0.024241547229129422,combined_charge_plus_policy
