cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
477,238,171,1,1,6.429299518834909,6.269749789771133,-0.0038399500000005915,0.07966984265207845,0.010773464753586823
478,227,172,1,1,6.503303935478373,6.307878252796212,0.013089650000000397,0.12109709216569578,0.013761647341509937
479,244,169,1,1,6.686466409939335,6.507426725702287,0.0,0.11536825485707053,0.01447479778922012
480,229,171,1,1,6.368966189186532,6.277615234662146,0.0029234999999996347,0.10451750201478109,0.01174326486120379
481,233,171,3,1,7.524333741309851,7.18430226059647,0.0008148999999999518,0.12926042520598285,0.01768169834281618
482,224,170,2,1,7.4278051530012705,7.09811997550026,-0.0008378000000002217,0.1321620087749663,0.02093193721182594
483,228,171,1,1,6.475831931643491,6.304047646447219,-0.00094934999999996,0.08541150890857428,0.011205211186622564
484,235,168,1,1,6.34419131477196,6.243203919444173,0.002952599999999972,0.06821841983729743,0.010059245081674542
485,238,170,1,1,6.430969809257258,6.309642412627412,-0.00097659999999955,0.0941330239079926,0.010651795306762012
486,231,171,1,1,6.321566556007672,6.200945955405848,0.002918750000000525,0.08391165799402009,0.011295628531825622
487,231,169,1,1,6.436463699923264,6.3021276069305125,-0.0009383999999998949,0.08660796564826341,0.010938635758813946
488,227,170,1,1,6.338898882563927,6.264718709279787,0.0009813000000002958,0.06737141763942595,0.010277413968227633
489,231,171,1,1,6.3528726744812705,6.2218786232533,0.003053199999999645,0.09519970266417928,0.011213412539323885
490,223,169,1,1,6.355612902222633,6.225289240954769,0.0018334499999999032,0.08960184467387676,0.011754192078356427
491,222,168,1,1,6.367768724708991,6.203601852470841,0.005066399999999582,0.09325247580653498,0.010887863988080851
492,232,168,1,1,6.57802912296385,6.355196680795412,-0.0010047000000001916,0.08657634693289303,0.0103868419615576
493,225,169,1,1,6.8911558737408045,6.621868447439619,-0.0017966999999998734,0.10473562081484182,0.013150078045370276
494,225,170,1,1,6.175919238399256,6.1389683875146694,-0.003033149999999818,0.06993432392576006,0.010046779252357738
495,219,169,1,1,6.306344970919255,6.19208221047551,0.0,0.08380212942285628,0.010491600960589702
496,233,169,1,1,6.212714624568935,6.16086947534985,0.0,0.08559863628792679,0.010830590586558827
497,223,168,1,1,6.466245871955734,6.274442604716886,-0.000996549999999985,0.07602748782601071,0.011535634050580345
498,232,168,1,1,6.375626793299948,6.253236687082073,0.003084650000000355,0.08205193993148345,0.010033428912862782
499,225,169,1,1,6.4365738769169525,6.339407571952452,-0.0010175500000002557,0.08377808932091958,0.01153241505995578
500,230,167,1,1,7.106789950300044,6.695787345463172,0.0010432999999996362,0.09144303033574966,0.013254926257914908
