cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,cap_significant_positive,ir_significant_positive,cap_ci_cross_zero,ir_ci_cross_zero,effect_rank_capacity,effect_rank_ir,max_abs_effect_per_1pp
50,s3_r2_t5,3,2,5,-9.936079387509917e-06,-0.000632989050376,0.0005532091077512,0.89,0.9064814814814816,98893,173,0.2407034200429917,-0.0003475004244343,-0.0009708048194197,0.0002695397590417,0.245,0.4166666666666667,98893,173,0.2407034200429917,uncertain,False,False,True,True,26,33,0.0003475004244343
46,s3_r2_t1,3,2,1,-5.227549769184476e-05,-0.0006166300986817,0.0006036868059571,0.845,0.89375,98893,173,0.1625645369291306,-0.0003139454524496,-0.001003671551157,0.0004282785260664,0.445,0.6118750000000001,98893,173,0.1625645369291306,uncertain,False,False,True,True,28,31,0.0003139454524496
41,s3_r1_t1,3,1,1,0.0002721731354362,-9.519143697495595e-06,0.0005455468411985,0.055,0.1374999999999999,98893,173,0.4626416862010956,0.0001594487036465,-0.0001837230213039,0.0004987434381258,0.36,0.5210526315789474,98893,173,0.4626416862010956,uncertain,False,False,True,True,20,22,0.0002721731354362
47,s3_r2_t2,3,2,2,0.0002591312016584,-5.490195503771358e-05,0.0005877991767994,0.135,0.2475,98893,173,0.2190740555524826,0.0002463217515821,-0.0001388849960252,0.000637584014553,0.25,0.4166666666666667,98893,173,0.2190740555524826,uncertain,False,False,True,True,22,20,0.0002591312016584
48,s3_r2_t3,3,2,3,-0.0002445110686958,-0.0006214363569585,0.0001274158836391,0.23,0.3614285714285714,98893,173,0.2428363263607025,-0.0002250319935839,-0.0006344130988702,0.0002043265512393,0.31,0.495,98893,173,0.2428363263607025,uncertain,False,False,True,True,34,30,0.0002445110686958
27,s2_r2_t2,2,2,2,0.0002247564649246,-0.0004668559688388,0.0008302377489484,0.48,0.5918478260869565,98893,173,0.1595503109693527,-0.0001662582334452,-0.0009585629638488,0.0005541503858188,0.67,0.7840425531914894,98893,173,0.1595503109693527,uncertain,False,False,True,True,23,29,0.0002247564649246
35,s2_r3_t5,2,3,5,-0.0001921933264835,-0.0004531735711564,6.574788055596479e-05,0.13,0.2475,98893,173,0.486895203590393,-1.9473405252506457e-05,-0.0003667118443862,0.0003227343297978,0.82,0.8831730769230769,98893,173,0.486895203590393,uncertain,False,False,True,True,32,25,0.0001921933264835
44,s3_r1_t4,3,1,4,-0.0001442290159838,-0.0006226702721535,0.0003370988594857,0.59,0.6904255319148935,98893,173,0.226103663444519,-0.0001003459461863,-0.0006058309509497,0.0004683245533706,0.77,0.8642857142857143,98893,173,0.226103663444519,uncertain,False,False,True,True,30,26,0.0001442290159838
40,s2_r4_t5,2,4,5,5.758004784551242e-05,-0.000239919551965,0.0004964347494336,0.68,0.7791666666666668,98893,173,0.3050462019443512,-0.000136763075147,-0.0004471585745387,0.0003013737456438,0.49,0.6573170731707317,98893,173,0.3050462019443512,uncertain,False,False,True,True,25,27,0.000136763075147
28,s2_r2_t3,2,2,3,-6.909629852804289e-05,-0.0006387808675588,0.0004695433260306,0.77,0.8642857142857143,98893,173,0.1643732988834381,2.2592237682970365e-05,-0.0006528469732612,0.0006710254803558,0.935,0.952314814814815,98893,173,0.1643732988834381,uncertain,False,False,True,True,29,24,6.909629852804289e-05
56,s3_r4_t1,3,4,1,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,False,False,False,False,,,
57,s3_r4_t2,3,4,2,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,False,False,False,False,,,
58,s3_r4_t3,3,4,3,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,False,False,False,False,,,
59,s3_r4_t4,3,4,4,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,False,False,False,False,,,
60,s3_r4_t5,3,4,5,,,,,,98893,173,0.0,,,,,,98893,173,0.0,uncertain,False,False,False,False,,,
