cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
54,share_54,y_ir_rise_h,98893,173,2.858473893574535e-06,0.20990618503757896,-0.005928575268795422,,0.0,0.0,0.005185450986027844,0.005185450986027844,400,0.00968337876425871,0.04841689382129355,-0.0007969851284770833,0.03697153426122393,0.085,0.21250000000000002,0.00968337876425871,3,3,4,s3_r3_t4
7,share_07,y_ir_rise_h,98893,173,3.638329999494228e-06,0.20990618503757896,0.0019051582955795787,,0.0,0.0,0.00020023527031298727,0.00020023527031298727,400,0.02498902498634088,0.1249451249317044,-0.008463834173736386,0.0818152074298877,0.1,0.22,0.02498902498634088,1,2,2,s1_r2_t2
14,share_14,y_ir_rise_h,98893,173,7.880608354112938e-05,0.20990618503757896,0.060030425334049786,,0.0,0.0,0.04990418255329132,0.04990418255329132,400,-0.001678812352926504,-0.00839406176463252,-0.0035789633251247645,0.0003537067655352633,0.095,0.22,0.001678812352926504,1,3,4,s1_r3_t4
49,share_49,y_ir_rise_h,98893,173,0.0027976005258433085,0.20990618503757896,0.3866244697344551,,0.0,0.0,0.2228715866804123,0.2228715866804123,400,-0.0003810766318161532,-0.001905383159080766,-0.0008364250786640926,9.187863758330236e-05,0.1,0.22,0.0003810766318161532,3,2,4,s3_r2_t4
13,share_13,y_ir_rise_h,98893,173,0.00010249829769554441,0.20990618503757896,0.07788361950072564,,0.0,0.0,0.05252561315894127,0.05252561315894127,400,-0.002286185676840288,-0.01143092838420144,-0.005305329697540983,0.000347606542082209,0.11,0.2326923076923077,0.002286185676840288,1,3,3,s1_r3_t3
18,share_18,y_ir_rise_h,98893,173,0.00019946800753089963,0.20990618503757896,0.15626624288610635,,0.0,0.0,0.05224660038948059,0.05224660038948059,400,0.0015311147100248435,0.007655573550124218,-0.0004426274998744861,0.003287221589628271,0.115,0.23425925925925928,0.0015311147100248435,1,4,3,s1_r4_t3
11,share_11,y_ir_rise_h,98893,173,6.3119052745279e-05,0.20990618503757896,0.1455044830629929,,0.0,0.0,0.04982395097613335,0.04982395097613335,400,-0.002645940096896444,-0.013229700484482219,-0.0062076529711845374,0.0010023809855647522,0.15,0.29464285714285715,0.002645940096896444,1,3,1,s1_r3_t1
51,share_51,y_ir_rise_h,98893,173,1.2174620522007776e-09,0.20990618503757896,-0.004160092440478325,,0.0,0.0,0.0,0.0,400,0.26531505576858255,1.3265752788429128,-0.8564684563850236,0.8884183579530883,0.16,0.303448275862069,0.26531505576858255,3,3,1,s3_r3_t1
12,share_12,y_ir_rise_h,98893,173,8.882320129600584e-05,0.20990618503757896,0.22347263880075885,,0.0,0.0,0.05441289395093918,0.05441289395093918,400,-0.001959737370726692,-0.009798686853633462,-0.004867932088986881,0.0011151065412759954,0.195,0.3575,0.001959737370726692,1,3,2,s1_r3_t2
55,share_55,y_ir_rise_h,98893,173,8.23666228254045e-07,0.20990618503757896,-0.0013401966868911153,,0.0,0.0,0.0,0.0,400,0.010172360555532235,0.05086180277766117,-0.006095777521588168,0.05465363428985838,0.21,0.3725806451612903,0.010172360555532235,3,3,5,s3_r3_t5
50,share_50,y_ir_rise_h,98893,173,0.0015996090212721029,0.20990618503757896,0.4142249434980234,,0.0,0.0,0.24070342004299175,0.24070342004299175,400,-0.00034750042443432286,-0.0017375021221716143,-0.0009708048194197984,0.00026953975904177925,0.245,0.4166666666666667,0.00034750042443432286,3,2,5,s3_r2_t5
47,share_47,y_ir_rise_h,98893,173,0.003925559538421206,0.20990618503757896,0.17834251385017796,,0.0,0.0,0.2190740555524826,0.2190740555524826,400,0.0002463217515821456,0.001231608757910728,-0.00013888499602520663,0.0006375840145530579,0.25,0.4166666666666667,0.0002463217515821456,3,2,2,s3_r2_t2
19,share_19,y_ir_rise_h,98893,173,0.00021567190299121963,0.20990618503757896,0.12417855437674152,,0.0,0.0,0.05197099968791008,0.05197099968791008,400,-0.0009805920713688093,-0.004902960356844046,-0.0029069600989824846,0.0009391464645456242,0.315,0.495,0.0009805920713688093,1,4,4,s1_r4_t4
48,share_48,y_ir_rise_h,98893,173,0.004850366124911269,0.20990618503757896,0.1776366850256048,,0.0,0.0,0.24283632636070251,0.24283632636070251,400,-0.0002250319935839348,-0.001125159967919674,-0.0006344130988702846,0.00020432655123933083,0.31,0.495,0.0002250319935839348,3,2,3,s3_r2_t3
45,share_45,y_ir_rise_h,98893,173,0.0006026684208450021,0.20990618503757896,0.01868619932272464,,0.0,0.0,0.1485312002897268,0.1485312002897268,400,0.00046601891452899703,0.0023300945726449853,-0.0004217925034307194,0.0016947879883099986,0.335,0.5118055555555556,0.00046601891452899703,3,1,5,s3_r1_t5
52,share_52,y_ir_rise_h,98893,173,1.2223922568419717e-07,0.20990618503757896,0.004976674275136372,,0.0,0.0,0.0,0.0,400,-0.02266449710151191,-0.11332248550755955,-0.04881383453712681,0.04128865890688847,0.345,0.5128378378378378,0.02266449710151191,3,3,2,s3_r3_t2
41,share_41,y_ir_rise_h,98893,173,0.011783865818388625,0.20990618503757896,0.5314856896965037,,0.0,0.0,0.4626416862010956,0.4626416862010956,400,0.00015944870364657788,0.0007972435182328893,-0.00018372302130390369,0.0004987434381258852,0.36,0.5210526315789474,0.00015944870364657788,3,1,1,s3_r1_t1
39,share_39,y_ir_rise_h,98893,173,0.0030496403493501002,0.20990618503757896,0.15792621707693555,,0.0,0.0013178951339796185,0.2437656968832016,0.2437656968832016,400,0.00018520240968551192,0.0009260120484275596,-0.00032308834533727464,0.0006576488513950459,0.39,0.5499999999999999,0.00018520240968551192,2,4,4,s2_r4_t4
46,share_46,y_ir_rise_h,98893,173,0.0018102278448655586,0.20990618503757896,0.3501105993590147,,0.0,0.0,0.16256453692913062,0.16256453692913062,400,-0.0003139454524496073,-0.0015697272622480366,-0.0010036715511570454,0.000428278526066455,0.445,0.6118750000000001,0.0003139454524496073,3,2,1,s3_r2_t1
40,share_40,y_ir_rise_h,98893,173,0.0044216584917379665,0.20990618503757896,0.42314568207593395,,0.0,0.0,0.3050462019443512,0.3050462019443512,400,-0.0001367630751470836,-0.000683815375735418,-0.0004471585745387648,0.000301373745643827,0.49,0.6573170731707317,0.0001367630751470836,2,4,5,s2_r4_t5
22,share_22,y_ir_rise_h,98893,173,2.186412196297837e-05,0.20990618503757896,0.0011636686904604732,,0.0,0.0,0.001862847576849166,0.001862847576849166,400,-0.0006502132088767985,-0.003251066044383993,-0.002439283932043974,0.004940064401563782,0.56,0.7333333333333334,0.0006502132088767985,2,1,2,s2_r1_t2
4,share_04,y_ir_rise_h,98893,173,6.412757850566349e-10,0.20990618503757896,0.18232914228512254,,0.0,0.0,0.0001087327813729645,0.0001087327813729645,400,-0.28928028408637907,-1.4464014204318953,-1.2649259485664426,0.771969213934485,0.59,0.74375,0.28928028408637907,1,1,4,s1_r1_t4
23,share_23,y_ir_rise_h,98893,173,2.5918304427860272e-05,0.20990618503757896,-0.006090661002997155,,0.0,0.0,0.003615851979702711,0.003615851979702711,400,0.0024789919373482934,0.012394959686741468,-0.011195585044574014,0.006752308503768318,0.595,0.74375,0.0024789919373482934,2,1,3,s2_r1_t3
29,share_29,y_ir_rise_h,98893,173,0.0015379828602906194,0.20990618503757896,0.16424727075115175,,0.0,0.0018719229847192764,0.14604689180850983,0.14604689180850983,400,-0.000149160710336729,-0.0007458035516836449,-0.0009941477532105965,0.0005691552749788781,0.615,0.7516666666666667,0.000149160710336729,2,2,4,s2_r2_t4
24,share_24,y_ir_rise_h,98893,173,3.250502253183523e-05,0.20990618503757896,-0.0006018669417469091,,0.0,0.0,0.001995268277823925,0.001995268277823925,400,-0.0008763702362431821,-0.004381851181215911,-0.003868320743599098,0.004687781012721857,0.655,0.7831521739130435,0.0008763702362431821,2,1,4,s2_r1_t4
27,share_27,y_ir_rise_h,98893,173,0.0013434369764191022,0.20990618503757896,0.31455833627061525,,0.0,0.0,0.15955031096935274,0.15955031096935274,400,-0.00016625823344528228,-0.0008312911672264114,-0.0009585629638488161,0.0005541503858188482,0.67,0.7840425531914894,0.00016625823344528228,2,2,2,s2_r2_t2
