cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
8,share_08,y_cap_drop_h,98893,173,1.8521314537178318e-08,0.3134462654203637,0.009205571674499202,,0.0,0.0,0.00017155178706161693,0.00017155178706161693,400,0.05690492248406911,0.28452461242034555,-0.0018588487796712136,0.3638520256324983,0.055,0.13749999999999998,0.05690492248406911,1,2,3,s1_r2_t3
41,share_41,y_cap_drop_h,98893,173,0.011783865818388625,0.3134462654203637,0.5314856896965037,,0.0,0.0,0.4626416862010956,0.4626416862010956,400,0.0002721731354362174,0.0013608656771810868,-9.519143697495595e-06,0.0005455468411985818,0.055,0.13749999999999998,0.0002721731354362174,3,1,1,s3_r1_t1
29,share_29,y_cap_drop_h,98893,173,0.0015379828602906194,0.3134462654203637,0.16424727075115175,,0.0,0.0018719229847192764,0.14604689180850983,0.14604689180850983,400,-0.0005712860169186813,-0.002856430084593406,-0.0013347377758207183,1.3883499825573619e-05,0.065,0.15543478260869567,0.0005712860169186813,2,2,4,s2_r2_t4
7,share_07,y_cap_drop_h,98893,173,3.638329999494228e-06,0.3134462654203637,0.0019051582955795787,,0.0,0.0,0.00020023527031298727,0.00020023527031298727,400,0.013629790138001092,0.06814895069000547,-0.0052868196109494845,0.06463085399265728,0.08,0.17600000000000002,0.013629790138001092,1,2,2,s1_r2_t2
6,share_06,y_cap_drop_h,98893,173,1.0073633055967614e-05,0.3134462654203637,0.001984537621684934,,0.0,0.0,0.00015642800310160967,0.00015642800310160967,400,0.010112045163598064,0.05056022581799033,-0.005770200475113641,0.018849805312764867,0.08,0.17600000000000002,0.010112045163598064,1,2,1,s1_r2_t1
9,share_09,y_cap_drop_h,98893,173,2.2843787328277966e-09,0.3134462654203637,0.09568924132955936,,0.0,0.0,0.00016007463680580263,0.00016007463680580263,400,-0.438873922974228,-2.1943696148711402,-0.9787448063029556,0.05941692242030625,0.12,0.24444444444444444,0.438873922974228,1,2,4,s1_r2_t4
54,share_54,y_cap_drop_h,98893,173,2.858473893574535e-06,0.3134462654203637,-0.005928575268795422,,0.0,0.0,0.005185450986027844,0.005185450986027844,400,0.007989825560289363,0.03994912780144682,-0.0018051860048130062,0.022769792798337987,0.12,0.24444444444444444,0.007989825560289363,3,3,4,s3_r3_t4
14,share_14,y_cap_drop_h,98893,173,7.880608354112938e-05,0.3134462654203637,0.060030425334049786,,0.0,0.0,0.04990418255329132,0.04990418255329132,400,-0.0017329653622558346,-0.008664826811279175,-0.00427024975531252,0.00030026031982793616,0.135,0.24750000000000003,0.0017329653622558346,1,3,4,s1_r3_t4
47,share_47,y_cap_drop_h,98893,173,0.003925559538421206,0.3134462654203637,0.17834251385017796,,0.0,0.0,0.2190740555524826,0.2190740555524826,400,0.0002591312016584707,0.0012956560082923534,-5.490195503771358e-05,0.0005877991767994795,0.135,0.24750000000000003,0.0002591312016584707,3,2,2,s3_r2_t2
35,share_35,y_cap_drop_h,98893,173,0.009227838243908191,0.3134462654203637,0.36463667936826427,,0.0,0.001741250278428197,0.48689520359039307,0.48689520359039307,400,-0.00019219332648354144,-0.0009609666324177072,-0.00045317357115641564,6.574788055596479e-05,0.13,0.24750000000000003,0.00019219332648354144,2,3,5,s2_r3_t5
49,share_49,y_cap_drop_h,98893,173,0.0027976005258433085,0.3134462654203637,0.3866244697344551,,0.0,0.0,0.2228715866804123,0.2228715866804123,400,-0.0003324615615350418,-0.001662307807675209,-0.0007921463967205352,0.00015368960799378245,0.165,0.292741935483871,0.0003324615615350418,3,2,4,s3_r2_t4
3,share_03,y_cap_drop_h,98893,173,1.0154357260913652e-09,0.3134462654203637,0.0973160132639539,,0.0,0.0,0.00011592697293963286,0.00011592697293963286,400,-0.34488676989340256,-1.7244338494670128,-0.8886597933119205,0.14573094990151889,0.19,0.325,0.34488676989340256,1,1,3,s1_r1_t3
51,share_51,y_cap_drop_h,98893,173,1.2174620522007776e-09,0.3134462654203637,-0.004160092440478325,,0.0,0.0,0.0,0.0,400,0.14046235452826888,0.7023117726413445,-0.5257014464751397,0.9211602354843567,0.195,0.325,0.14046235452826888,3,3,1,s3_r3_t1
