n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,criterion,bootstrap,random_state,n_jobs,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae,gap
300,2,8,,1.0,12.0,squared_error,True,20260318,1,0.6575714691151443,0.5008055675010274,0.030002003858841903,0.03483131794909875,0.019117066167856578,0.025107905797362082,0.15676590161411685
500,20,8,0.85,0.8,14.0,squared_error,True,20260318,1,0.6610485359531482,0.5006997349716442,0.029849292951775783,0.034835009988594526,0.01910494866298854,0.02506104136682327,0.16034880098150395
800,5,6,0.6,0.5,24.0,squared_error,True,20260318,1,0.7035482210844264,0.5003524466503588,0.02791530142516928,0.03484712262908805,0.017751266586495253,0.024937653571101587,0.20319577443406756
300,20,3,0.95,0.8,12.0,squared_error,True,20260318,1,0.6645344502749868,0.49979309957610984,0.0296954051508707,0.03486662255845743,0.019097308398092972,0.025088386027198314,0.16474135069887696
500,20,2,0.6,sqrt,,squared_error,True,20260318,1,0.6930683536302513,0.4992456489762417,0.028404433084339382,0.03488569719900611,0.018714845983788517,0.025277820357312877,0.19382270465400964
300,40,1,0.6,0.2,28.0,squared_error,True,20260318,1,0.6620857885606926,0.4989246888349328,0.029803585847213578,0.03489687545904435,0.020122430189339905,0.02536153828744815,0.16316109972575976
400,5,4,0.6,0.3,12.0,squared_error,True,20260318,1,0.6517461329483152,0.4986359283406173,0.030256122166110497,0.03490692922484261,0.019593541876925198,0.025400636978195813,0.15311020460769786
800,20,4,,sqrt,20.0,squared_error,True,20260318,1,0.684038403655109,0.4985274208868956,0.028819234507424827,0.034910706377323235,0.018819325978372166,0.025399422857618318,0.18551098276821343
800,40,4,,0.35,16.0,squared_error,True,20260318,1,0.6511237581853115,0.49771889654544954,0.0302831459021713,0.034938838312110546,0.01988504148374956,0.025301922142441372,0.153404861639862
1000,10,8,0.75,0.4,14.0,squared_error,True,20260318,1,0.6480439155987336,0.4968545456819129,0.030416520400508032,0.03496888765485203,0.01960249042541369,0.02532765282188617,0.15118936991682075
